BJI,635,636.93,559.6,276.26,204.72,462.53
RHI,135,135.01,484.47,180.58,567.48,521.40
CYS,225,225.14,447.76,426.17,376.29,502.87
CEC,390,391.57,314.17,520.8,535.91,612.79
OWB,500,500.42,156.98,962.5,464.7,427.33
ABR,495,496.6,578.55,288.4,956.79,971.71
CIU,510,509.12,596.81,561.64,339.06,179.28
PQI,590,558.4,684.67,533.12,534.5,461.32
MKG,450,450.91,272.61,599.22,555.58,427.37
PIB,620,619.55,540.96,461.32,543.54,676.98
MEI,600,599.07,544.15,419.92,466.53,476.89
ALO,465,464.94,593.21,474.36,610.83,636.71
BRD,265,263.09,503.96,563.44,493.7,562.12
PLN,625,626.49,566.46,605.79,570.79,435.80
BPT,165,163.27,663.38,540.24,429.41,310.74
ISN,495,494.5,622.79,364.19,457.67,431.08
SHD,640,642.81,491.65,634.25,479.07,655.97
ACK,570,569.7,326.07,516.12,497.24,445.22
ESC,630,627.01,421.68,689.66,499.02,491.64
MMH,480,478.27,181.59,375.78,522.23,550.33
MCW,480,478.49,463.25,495.01,594.49,471.62
PSG,510,508.03,461.17,652.42,265.6,658.69
APN,430,428.65,471.54,653.36,620.34,533.31
FOD,550,546.33,445.52,537.14,279.43,597.49
IYK,550,552.37,1223.45,450.59,585.24,673.29
MGW,1085,1082.72,510.55,564.2,445.05,513.49
LWB,575,574.29,382.27,573.44,372.93,310.84
PIR,490,491.78,524.11,435.85,483.46,585.21
HIB,460,460.85,499.56,472.92,542.93,545.59
IPL,515,516.42,277.05,522.6,411.22,424.59
TUP,290,292.96,594.86,1158.47,381.34,528.19
IMT,570,570.05,450.72,407.99,116.83,118.38
RIW,454,454.22,615.04,165.91,406.23,618.68
CDV,454,453.95,420.08,409.48,585.08,657.80
DIK,385,385.12,586.9,490.01,485.5,562.75
WRG,290,289.81,429.21,592.92,565.37,592.32
JST,765,765.35,491.54,486.59,442.39,604.38
BHB,565,567.04,502.6,673.64,332.62,382.20
ATY,760,762.13,591.06,709.34,516.4,521.54
GUC,535,537.26,516.89,243.2,756.47,546.84
CDC,595,594.71,159.84,575.4,557.79,754.04
DUJ,480,447.3,495.36,337.29,493.66,1364.15
MVY,580,580.91,311.63,155.86,338.2,440.22
DRT,465,464.35,572.07,549.69,545.76,437.54
EAR,510,624,510.03,136.28,541.97,552.23
INL,500,584.58,499.49,1271.67,634.31,588.73
